PointId	X	Y	Z	RX	RY	RZ	J1	J2	J3	J4	J5	J6	orderId
123682	0.2057038902019200	-0.4485726020693700	0.4428686325457300	-0.9361130000000000	-1.5319200000000000	2.5067500000000000	-0.7441473007202100	-0.1397103667259200	1.8832012414932000	2.0569493770599000	0.7439200878143300	1.5770577192307000	1
123683	0.1244328567094200	-0.5654394961807900	0.2644478310715500	-0.9360960000000000	-1.5319300000000000	2.5067300000000000	-1.0608325004578000	-0.5806074142456100	1.8295410871506000	2.4365572929382000	1.0604562759399000	1.5891988277435000	2
123684	-0.0272429736649010	-0.5730934005372200	0.2644493470966100	-0.9360650000000000	-1.5319200000000000	2.5066900000000000	-1.3715227842331000	-0.5666366815567000	1.8559395074844000	2.4460904598236000	1.3710464239120000	1.5974372625351000	3
123685	-0.1678426412833200	-0.5730951406949600	0.3307796449706500	-0.9360390000000000	-1.5319200000000000	2.5066600000000000	-1.6659736633301000	-0.5049762129783599	1.7221322059631000	2.2502582073212000	1.6654093265533000	1.6042890548706000	4
123686	-0.1678429876906300	-0.5730952477386000	0.2625378120782100	-0.9359860000000000	-1.5319300000000000	2.5066000000000000	-1.6659736633301000	-0.6188057065010100	1.7643626928329000	2.4063181877136000	1.6654057502747000	1.6042854785919000	5
123687	-0.1912642918114400	-0.5730950035840601	0.2252783621536500	-0.9360580000000001	-1.5319300000000000	2.5066700000000000	-1.7127600908279000	-0.7023392319679300	1.7463810443878000	2.4719977378845000	1.7121767997742000	1.6053820848465000	6
123688	-0.3205590347219101	-0.5276342100987600	0.2676777628554600	-0.9357960000000000	-1.5319200000000000	2.5064100000000000	-1.9800043106079000	-0.6673159599304199	1.6521682739258000	2.3446071147919000	1.9793449640274000	1.6120799779892000	7
123689	-0.3339347668705099	-0.5192962957110700	0.1543729931456400	-0.9359970000000000	-1.5319200000000000	2.5066100000000000	-2.0096971988678000	-0.8805631995201100	1.6526703834534000	2.5586879253387000	2.0090303421021000	1.6129052639008000	8
123690	-0.2595290361014000	-0.5391007209634700	0.0881857028196190	-0.9358930000000000	-1.5319300000000000	2.5065100000000000	-1.8605138063431000	-0.9889703392982500	1.7063028812408000	2.7193217277527000	1.8598918914795000	1.6089547872543000	9
123691	-0.0925878626712940	-0.5391009694884998	0.0777686652656120	-0.9359330000000000	-1.5319300000000000	2.5065500000000000	-1.5052353143692000	-0.9567485451698300	1.8962625265121000	2.8761081695557000	1.5047094821930000	1.6005697250366000	10
123692	-0.1202055871279000	-0.5823918485394000	-0.0880747566083681	-0.9361650000000000	-1.5319300000000000	2.5067800000000000	-1.5680407285690000	-1.3882950544357000	1.5137224197388000	2.9250578880310000	1.5674988031387000	1.6020258665085000	11
123693	0.1415994375774300	-0.5630134821077399	-0.0445806582252940	-0.9359350000000000	-1.5319300000000000	2.5065500000000000	-1.0269114971161000	-1.2770986557007000	1.6312993764877000	2.9353358745575000	1.0265343189240000	1.5881423950195000	12
123694	0.1415992880292000	-0.5630132348072200	-0.0762805852543870	-0.9359650000000000	-1.5319400000000000	2.5065800000000000	-1.0269114971161000	-1.3529380559921000	1.5768034458160000	2.9566762447357000	1.0265343189240000	1.5881423950195000	13
123695	0.1415986977785200	-0.5630128145194699	-0.1434197395114600	-0.9359970000000000	-1.5319300000000000	2.5066100000000000	-1.0269114971161000	-1.5147205591202000	1.4394507408142000	2.9811089038849000	1.0265307426453000	1.5881462097168000	14
123696	0.1158692299842900	-0.5460279375765400	-0.2460980061336600	-0.9359510000000000	-1.5319300000000000	2.5065700000000000	-1.0563899278641000	-1.7604805231094000	1.2407130002975000	3.0276710987091000	1.0559995174408000	1.5890557765961000	15
123697	0.0868194864440710	-0.5460289194030200	-0.3184089018482600	-0.9359690000000000	-1.5319300000000000	2.5065900000000000	-1.1138342618942000	-1.9518148899078000	1.0082165002823000	2.9857163429260000	1.1134262084961000	1.5907504558563000	16
123698	-0.0110494440829800	-0.5740917333028199	-0.2525139999063399	-0.9359290000000000	-1.5319400000000000	2.5065400000000000	-1.3379232883453000	-1.7828863859177000	1.1763459444046000	2.9829137325287000	1.3374437093735000	1.5966081619263000	17
123699	-0.0362954748123520	-0.5740919569685901	-0.3092061087837700	-0.9359660000000000	-1.5319400000000000	2.5065800000000000	-1.3910415172577000	-1.9385545253754000	0.9679483771324200	2.9299216270447000	1.3905494213104000	1.5978883504868000	18
123700	-0.1427405975541001	-0.5740917246211200	-0.2783105109424899	-0.9358790000000000	-1.5319300000000000	2.5064900000000000	-1.6146588325500000	-1.8652287721634000	1.0131397247314000	2.9014360904694000	1.6141047477722000	1.6030896902084000	19
123701	-0.2262213095738400	-0.5740914940951300	-0.2783112427143800	-0.9359640000000000	-1.5319400000000000	2.5065800000000000	-1.7800542116165000	-1.8935835361481000	0.8889860510826100	2.8061223030090000	1.7794557809830000	1.6069704294205000	20
123702	-0.3174643632987000	-0.5740904058811500	-0.2783112145853600	-0.9360090000000000	-1.5319300000000000	2.5066200000000000	-1.9422470331192000	-1.9627484083176000	0.6550689935684200	2.6425392627716000	1.9416009187698000	1.6110529899597000	21
123703	0.0656519566034280	-0.6108570592545800	-0.3519190536831500	-2.9621500000000000	-1.5015200000000000	-1.7760700000000000	-1.2048660516739000	-2.0791833400726000	0.6715105175972000	2.6769819259644000	1.1804190874100000	1.6112730503082000	22
